,ts,lat,lon,speed
245,2017-07-01 01:55:11,13.821937,100.55783,55
246,2017-07-01 01:55:26,13.824047,100.55763,58
247,2017-07-01 01:55:56,13.828857,100.55713,68
248,2017-07-01 01:56:11,13.831387,100.55697,53
249,2017-07-01 01:56:56,13.834333,100.55672,31
250,2017-07-01 01:56:56,13.834333,100.55672,31
251,2017-07-01 01:57:56,13.839773,100.55741,7
252,2017-07-01 01:58:11,13.840243,100.55761,25
253,2017-07-01 01:58:26,13.841553,100.55805,44
254,2017-07-01 01:58:56,13.843743,100.55913,27
255,2017-07-01 01:58:56,13.843743,100.55913,27
256,2017-07-01 01:58:56,13.843743,100.55913,27
257,2017-07-01 01:59:56,13.85063,100.56272,64
258,2017-07-01 02:01:11,13.86275,100.569247,67
259,2017-07-01 02:01:26,13.865,100.570527,65
260,2017-07-01 02:01:56,13.869027,100.572437,56
261,2017-07-01 02:02:11,13.871247,100.573577,64
262,2017-07-01 02:02:26,13.873637,100.574917,64
263,2017-07-01 02:03:01,13.877107,100.576827,10
264,2017-07-01 02:03:11,13.877967,100.577297,35
265,2017-07-01 02:03:11,13.877967,100.577297,35
266,2017-07-01 02:03:56,13.883493,100.580417,63
267,2017-07-01 02:03:56,13.883493,100.580417,63
268,2017-07-01 02:04:16,13.885383,100.581547,32
269,2017-07-01 02:04:56,13.887053,100.582467,39
270,2017-07-01 02:05:56,13.895383,100.587103,71
271,2017-07-01 02:07:26,13.90461,100.592333,72
272,2017-07-01 02:08:26,13.91425,100.597693,4
273,2017-07-01 02:09:11,13.918077,100.599883,66
274,2017-07-01 02:10:06,13.922387,100.60233,0
275,2017-07-01 02:10:26,13.923437,100.60297,39
276,2017-07-01 02:10:26,13.923437,100.60297,39
277,2017-07-01 02:12:26,13.939773,100.61225,5
278,2017-07-01 02:13:26,13.944583,100.61488,42
279,2017-07-01 02:14:11,13.947853,100.61655,25
280,2017-07-01 02:15:01,13.95111,100.618297,0
281,2017-07-01 02:15:56,13.95597,100.619937,20
282,2017-07-01 02:17:36,13.96194,100.619717,27
283,2017-07-01 02:18:26,13.96516,100.619077,23
284,2017-07-01 02:19:11,13.970247,100.618297,63
285,2017-07-01 02:19:56,13.974997,100.617437,30
286,2017-07-01 02:20:56,13.983553,100.61613,57
287,2017-07-01 02:23:26,13.986883,100.60775,1
288,2017-07-01 02:24:11,13.986413,100.6053,31
289,2017-07-01 02:24:56,13.985443,100.60411,17
290,2017-07-01 02:25:56,13.984693,100.60416,6
291,2017-07-01 02:26:41,13.984773,100.60438,0
292,2017-07-01 02:27:26,13.984773,100.60438,0
293,2017-07-01 02:28:26,13.984773,100.60436,0
294,2017-07-01 02:29:11,13.984773,100.60436,0
295,2017-07-01 02:29:11,13.984773,100.60436,0
296,2017-07-01 02:29:11,13.984773,100.60436,0
297,2017-07-01 02:29:11,13.984773,100.60436,0
298,2017-07-01 02:29:11,13.984773,100.60436,0
299,2017-07-01 02:29:11,13.984773,100.60436,0
300,2017-07-01 04:14:10,13.780077,100.544713,0
301,2017-07-01 04:14:10,13.780077,100.544713,0
302,2017-07-01 04:14:10,13.780077,100.544713,0
303,2017-07-01 04:14:10,13.780077,100.544713,0
304,2017-07-01 04:14:10,13.780077,100.544713,0
305,2017-07-01 04:14:10,13.780077,100.544713,0
306,2017-07-01 04:20:54,13.984833,100.60408,0
307,2017-07-01 04:22:24,13.984833,100.60408,0
308,2017-07-01 04:23:24,13.984833,100.60408,0
309,2017-07-01 04:24:09,13.984833,100.60408,0
310,2017-07-01 04:24:54,13.984833,100.60408,0
311,2017-07-01 04:25:54,13.984833,100.60408,0
312,2017-07-01 04:26:39,13.984833,100.60408,0
313,2017-07-01 04:27:24,13.984833,100.60408,0
314,2017-07-01 04:28:24,13.984853,100.60408,0
315,2017-07-01 04:29:09,13.984853,100.60408,0
316,2017-07-01 04:29:54,13.984853,100.60408,0
317,2017-07-01 04:30:54,13.984853,100.60408,0
318,2017-07-01 04:31:39,13.984853,100.60408,0
319,2017-07-01 04:32:24,13.984853,100.60408,0
320,2017-07-01 04:33:24,13.984853,100.60408,0
321,2017-07-01 04:34:09,13.984853,100.60408,0
322,2017-07-01 04:34:54,13.984853,100.60408,0
323,2017-07-01 04:35:54,13.984853,100.60408,0
324,2017-07-01 04:36:39,13.984853,100.60408,0
325,2017-07-01 04:37:24,13.984853,100.60408,0
326,2017-07-01 04:38:24,13.984853,100.60408,0
327,2017-07-01 04:39:09,13.984853,100.60408,0
328,2017-07-01 04:39:54,13.984853,100.60408,0
329,2017-07-01 04:40:54,13.984853,100.60408,0
330,2017-07-01 04:41:39,13.984853,100.60408,0
331,2017-07-01 04:42:24,13.984853,100.60408,0
332,2017-07-01 04:44:09,13.984853,100.60408,0
333,2017-07-01 04:44:10,13.984853,100.60408,0
334,2017-07-01 04:44:54,13.984853,100.60408,0
335,2017-07-01 04:46:39,13.984853,100.60408,0
336,2017-07-01 04:47:24,13.984853,100.60408,0
337,2017-07-01 04:48:24,13.984853,100.60408,0
338,2017-07-01 04:49:09,13.984853,100.60408,0
339,2017-07-01 04:49:54,13.984853,100.60408,0
340,2017-07-01 04:50:54,13.984853,100.60408,0
341,2017-07-01 04:51:39,13.984853,100.60408,0
342,2017-07-01 04:52:24,13.984853,100.60408,0
343,2017-07-01 04:53:24,13.984853,100.60408,0
344,2017-07-01 04:54:09,13.984853,100.60408,0
345,2017-07-01 04:54:54,13.984853,100.60408,0
346,2017-07-01 04:55:54,13.984833,100.60408,0
347,2017-07-01 04:56:39,13.984833,100.60408,0
348,2017-07-01 04:57:24,13.984833,100.60408,0
349,2017-07-01 04:58:24,13.984833,100.60408,0
350,2017-07-01 04:59:09,13.984833,100.60408,0
351,2017-07-01 04:59:54,13.984833,100.60408,0
352,2017-07-01 05:00:54,13.984833,100.60408,0
353,2017-07-01 05:01:39,13.984833,100.60408,0
354,2017-07-01 05:02:24,13.984833,100.60408,0
355,2017-07-01 05:03:24,13.984833,100.60408,0
356,2017-07-01 05:04:09,13.984833,100.60408,0
357,2017-07-01 05:04:54,13.984833,100.60408,0
358,2017-07-01 05:06:39,13.984833,100.60408,0
359,2017-07-01 05:07:24,13.984833,100.60408,0
360,2017-07-01 05:08:24,13.984833,100.60411,0
361,2017-07-01 05:09:09,13.984833,100.60411,0
362,2017-07-01 05:09:54,13.984833,100.60411,0
363,2017-07-01 05:10:54,13.984833,100.60411,0
364,2017-07-01 05:11:39,13.984833,100.60411,0
365,2017-07-01 05:12:24,13.984833,100.60411,0
